IWM,4.4099998E10
NHTC,Natural Health Trends Corp,0.01
CVI,CVR Energy Inc,0.01
TRR,TRC Cos Inc,0.01
ALRM,Alarm.com Holdings Inc,0.01
AVHI,AV Homes Inc,0.01
OB,OneBeacon Insurance Group Ltd,0.01
COUP,Coupons.com Inc,0.01
FF,FutureFuel Corp,0.01
HBCP,Home Bancorp Inc,0.01
CMTL,Comtech Telecommunications Corp,0.01
MEET,MeetMe Inc,0.01
LMAT,LeMaitre Vascular Inc,0.01
RDNT,RadNet Inc,0.01
CLDX,Celldex Therapeutics Inc,0.01
FBIZ,First Business Financial Services Inc,0.01
CCNE,CNB Financial Corp/PA,0.01
PFSI,PennyMac Financial Services Inc,0.01
GCAP,GAIN Capital Holdings Inc,0.01
EHTH,eHealth Inc,0.01
HEOP,Heritage Oaks Bancorp,0.01
MOBL,MobileIron Inc,0.01
ICON,Iconix Brand Group Inc,0.01
GEOS,Geospace Technologies Corp,0.01
NGS,Natural Gas Services Group Inc,0.01
ASC,Ardmore Shipping Corp,0.01
EROS,Eros International PLC,0.01
WVE,WAVE LIFE SCIENCES LTD,0.01
DGII,Digi International Inc,0.01
CSS,CSS Industries Inc,0.01
GERN,Geron Corp,0.01
BIOS,BioScrip Inc,0.01
ACBI,ATLANTIC CAPITAL BANCSHARES INC,0.01
AJX,Great Ajax Corp,0.01
SPNS,Sapiens International Corp NV,0.01
HCHC,HC2 Holdings Inc,0.01
BSRR,Sierra Bancorp,0.01
LCNB,LCNB Corp,0.01
VBTX,Veritex Holdings Inc,0.01
SMBC,Southern Missouri Bancorp Inc,0.01
CNXN,PC Connection Inc,0.01
CLFD,Clearfield Inc,0.01
ARII,American Railcar Industries Inc,0.01
NRIM,Northrim BanCorp Inc,0.01
STRP,Straight Path Communications Inc,0.01
EPM,Evolution Petroleum Corp,0.01
ZOES,Zoe's Kitchen Inc,0.01
LQDT,Liquidity Services Inc,0.01
RUN,Sunrun Inc,0.01
PKD,Parker Drilling Co,0.01
SALE,RetailMeNot Inc,0.01
PEIX,Pacific Ethanol Inc,0.01
WRLD,World Acceptance Corp,0.01
ZAGG,ZAGG Inc,0.01
PKOH,Park-Ohio Holdings Corp,0.01
EMKR,EMCORE Corp,0.01
TLGT,TELIGENT INC,0.01
MBTF,MBT Financial Corp,0.01
IMGN,ImmunoGen Inc,0.01
VLGEA,Village Super Market Inc,0.01
ATKR,ATKORE INTERNATIONAL GROUP INC,0.01
SFST,Southern First Bancshares Inc,0.01
PRMW,Primo Water Corp,0.01
CMRE,Costamare Inc,0.01
ZUMZ,Zumiez Inc,0.01
ENT,Global Eagle Entertainment Inc,0.01
HZN,Horizon Global Corp,0.01
ZEUS,Olympic Steel Inc,0.01
AT,Atlantic Power Corp,0.01
BOOM,Dynamic Materials Corp,0.01
CIO,City Office REIT Inc,0.01
ESIO,Electro Scientific Industries Inc,0.01
OLP,One Liberty Properties Inc,0.01
NATH,Nathan's Famous Inc,0.01
SONS,Sonus Networks Inc,0.01
MLI,Mueller Industries Inc,0.01
ADXS,Advaxis Inc,0.01
FLXS,Flexsteel Industries Inc,0.01
TRC,Tejon Ranch Co,0.01
FTD,FTD Cos Inc,0.01
OSBC,OLD SECOND BANCORP INC.,0.01
APTS,Preferred Apartment Communities Inc,0.01
PRTK,Paratek Pharmaceuticals Inc,0.01
PBPB,Potbelly Corp,0.01
SRDX,SurModics Inc,0.01
NCOM,National Commerce Corp,0.01
BATRA,LIBERTY MEDIA LIBERTY BRAVES CORP,0.01
BSTC,BioSpecifics Technologies Corp,0.01
CPSI,Computer Programs & Systems Inc,0.01
UIHC,United Insurance Holdings Corp,0.01
CENT,Central Garden & Pet Co,0.01
PICO,PICO Holdings Inc,0.01
MYE,Myers Industries Inc,0.01
MOFG,MidWestOne Financial Group Inc,0.01
GBLI,Global Indemnity PLC,0.01
DX,Dynex Capital Inc,0.01
CECE,CECO Environmental Corp,0.01
BLCM,Bellicum Pharmaceuticals Inc,0.01
LBY,Libbey Inc,0.01
GPX,GP Strategies Corp,0.01
SGMO,Sangamo BioSciences Inc,0.01
MCRI,Monarch Casino & Resort Inc,0.01
VRNS,Varonis Systems Inc,0.01
OTIC,Otonomy Inc,0.01
INSW,INTERNATIONAL SEAWAYS INC,0.01
ADMS,Adamas Pharmaceuticals Inc,0.01
CTRL,Control4 Corp,0.01
AMNB,American National Bankshares Inc,0.01
DCO,Ducommun Inc,0.01
RPD,Rapid7 Inc,0.01
EBTC,Enterprise Bancorp Inc/MA,0.01
PHX,Panhandle Oil and Gas Inc,0.01
CTMX,CYTOMX THERAPEUTICS INC,0.01
NSTG,NanoString Technologies Inc,0.01
NPTN,NeoPhotonics Corp,0.01
ONVO,Organovo Holdings Inc,0.01
MBVT,Merchants Bancshares Inc/VT,0.01
CRAI,CRA International Inc,0.01
NC,NACCO Industries Inc,0.01
NVTA,Invitae Corp,0.01
CHCT,Community Healthcare Trust Inc,0.01
CALX,Calix Inc,0.01
PERY,Perry Ellis International Inc,0.01
POWL,Powell Industries Inc,0.01
COLL,Collegium Pharmaceutical Inc,0.01
LE,Lands' End Inc,0.01
CNCE,Concert Pharmaceuticals Inc,0.01
FNLC,First Bancorp Inc/ME,0.01
TNAV,Telenav Inc,0.01
TTPH,Tetraphase Pharmaceuticals Inc,0.01
-,DYAX CORP CVR,0.01
ENZ,Enzo Biochem Inc,0.01
NUTR,Nutraceutical International Corp,0.01
TACO,Del Taco Restaurants Inc,0.01
RSO,Resource Capital Corp,0.01
BL,BLACKLINE INC,0.01
ERII,Energy Recovery Inc,0.01
LPG,Dorian LPG Ltd,0.01
FPI,Farmland Partners Inc,0.01
BBG,Bill Barrett Corp,0.01
BSET,Bassett Furniture Industries Inc,0.01
CRMT,America's Car-Mart Inc/TX,0.01
FFKT,Farmers Capital Bank Corp,0.01
HOV,Hovnanian Enterprises Inc,0.01
CZNC,Citizens & Northern Corp,0.01
PFIS,Peoples Financial Services Corp,0.01
CHEF,Chefs' Warehouse Inc,0.01
HONE,HARBORONE BANCORP INC,0.01
BGFV,Big 5 Sporting Goods Corp,0.01
CMRX,Chimerix Inc,0.01
WNEB,WESTERN NEW ENGLAND BANCORP INC,0.01
AXAS,Abraxas Petroleum Corp,0.01
ACIA,ACACIA COMMUNICATIONS INC,0.01
CRR,CARBO Ceramics Inc,0.01
KPTI,Karyopharm Therapeutics Inc,0.01
CIVI,Civitas Solutions Inc,0.01
SNBC,Sun Bancorp Inc/NJ,0.01
WMIH,WMIH CORP,0.01
ATLO,Ames National Corp,0.01
AMSWA,American Software Inc/GA,0.01
ORC,Orchid Island Capital Inc,0.01
RUSHB,Rush Enterprises Inc,0.01
XBIT,XBiotech Inc,0.01
NVEE,NV5 Holdings Inc,0.01
BRG,Bluerock Residential Growth REIT Inc,0.01
CTRN,Citi Trends Inc,0.01
SFS,Smart & Final Stores Inc,0.01
VICR,Vicor Corp,0.01
RMTI,Rockwell Medical Inc,0.01
XTLY,Xactly Corp,0.01
TNK,Teekay Tankers Ltd,0.01
EXAC,Exactech Inc,0.01
MCBC,Macatawa Bank Corp,0.01
STS,Supreme Industries Inc,0.01
ZGNX,Zogenix Inc,0.01
ARTNA,Artesian Resources Corp,0.01
FARM,Farmer Bros Co,0.01
MLR,Miller Industries Inc/TN,0.01
CHFN,Charter Financial Corp/MD,0.01
NEWS,NewStar Financial Inc,0.01
AXGN,AxoGen Inc,0.01
FMBH,First Mid-Illinois Bancshares Inc,0.01
MCRN,MILACRON HOLDINGS CORP,0.01
ZIXI,Zix Corp,0.01
QADA,QAD Inc,0.01
RDI,Reading International Inc,0.01
GLDD,Great Lakes Dredge & Dock Corp,0.01
NKSH,National Bankshares Inc,0.01
CACB,Cascade Bancorp,0.01
WINA,Winmark Corp,0.01
RXDX,Ignyta Inc,0.01
SFE,Safeguard Scientifics Inc,0.01
ELF,ELF BEAUTY INC,0.01
HIFS,Hingham Institution for Savings,0.01
AHP,Ashford Hospitality Prime Inc,0.01
IRTC,IRHYTHM TECHNOLOGIES INC,0.01
JIVE,Jive Software Inc,0.01
BETR,AMPLIFY SNACK BRANDS INC,0.01
RNET,RigNet Inc,0.01
FLWS,1-800-Flowers.com Inc,0.01
FRPT,Freshpet Inc,0.01
SCMP,Sucampo Pharmaceuticals Inc,0.01
TITN,Titan Machinery Inc,0.01
AQMS,AQUA METALS INC,0.01
INSY,Insys Therapeutics Inc,0.01
DMRC,Digimarc Corp,0.01
ECOM,ChannelAdvisor Corp,0.01
TBBK,Bancorp Inc,0.01
BCOV,Brightcove Inc,0.01
CAI,CAI International Inc,0.01
INST,INSTRUCTURE INC,0.01
CUTR,Cutera Inc,0.01
IMMR,Immersion Corp,0.01
GMS,GMS INC,0.01
VEC,Vectrus Inc,0.01
FRPH,FRP Holdings Inc,0.01
EDGE,EDGE THERAPEUTICS INC,0.0
IMH,Impac Mortgage Holdings Inc,0.0
RILY,B. Riley Financial Inc,0.0
RT,Ruby Tuesday Inc,0.0
CSLT,Castlight Health Inc,0.0
TTGT,TechTarget Inc,0.0
NWHM,New Home Co Inc,0.0
DGICA,Donegal Group Inc,0.0
CBMG,Cellular Biomedicine Group Inc,0.0
I,Intelsat SA,0.0
NEOS,Neos Therapeutics Inc,0.0
LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,0.0
VYGR,VOYAGER THERAPEUTICS INC,0.0
BOOT,Boot Barn Holdings Inc,0.0
AMBR,Amber Road Inc,0.0
ECR,Eclipse Resources Corp,0.0
JAX,J ALEXANDERS HOLDINGS INC,0.0
WAAS,AQUAVENTURE HOLDINGS LTD,0.0
MYOV,MYOVANT SCIENCES LTD,0.0
AMOT,Allied Motion Technologies Inc,0.0
BBOX,Black Box Corp,0.0
ESCA,Escalade Inc,0.0
MNKD,MannKind Corp,0.0
KVHI,KVH Industries Inc,0.0
HDNG,Hardinge Inc,0.0
PFNX,PFENEX INC,0.0
GBL,GAMCO Investors Inc,0.0
AMRC,Ameresco Inc,0.0
SYUT,Synutra International Inc,0.0
PROV,Provident Financial Holdings Inc,0.0
TPHS,TRINITY PLACE HOLDINGS INC,0.0
NVIV,InVivo Therapeutics Holdings Corp,0.0
DWSN,Dawson Geophysical Co,0.0
HOME,Home Federal Bancorp Inc/Idaho,0.0
IHC,Independence Holding Co,0.0
AOI,Alliance One International Inc,0.0
DRRX,Durect Corp,0.0
JMBA,Jamba Inc,0.0
MSBI,MIDLAND STATES BANCORP INC,0.0
BBW,Build-A-Bear Workshop Inc,0.0
MPX,Marine Products Corp,0.0
OFLX,Omega Flex Inc,0.0
FBIO,Fortress Biotech Inc,0.0
GMRE,GLOBAL MEDICAL REIT INC,0.0
MCFT,MCBC Holdings Inc,0.0
NOG,Northern Oil and Gas Inc,0.0
AP,Ampco-Pittsburgh Corp,0.0
ESSA,ESSA Bancorp Inc,0.0
DLA,Delta Apparel Inc,0.0
CRD.B,Crawford & Co,0.0
QNST,QuinStreet Inc,0.0
PLPC,Preformed Line Products Co,0.0
TSQ,Townsquare Media Inc,0.0
BCRH,Blue Capital Reinsurance Holdings Ltd,0.0
PFSW,PFSweb Inc,0.0
CHMG,Chemung Financial Corp,0.0
SPWH,Sportsman's Warehouse Holdings Inc,0.0
ENTL,Entellus Medical Inc,0.0
HOS,Hornbeck Offshore Services Inc,0.0
ULH,Universal Truckload Services Inc,0.0
RNWK,RealNetworks Inc,0.0
PMBC,Pacific Mercantile Bancorp,0.0
XONE,ExOne Co,0.0
ACRX,AcelRx Pharmaceuticals Inc,0.0
VTL,Vital Therapies Inc,0.0
GENC,Gencor Industries Inc,0.0
WG,Willbros Group Inc,0.0
AGTC,Applied Genetic Technologies Corp/DE,0.0
HIVE,Aerohive Networks Inc,0.0
TPIC,TPI COMPOSITES INC,0.0
TLYS,Tilly's Inc,0.0
OPHT,Ophthotech Corp,0.0
VHC,VirnetX Holding Corp,0.0
EGLT,Egalet Corp,0.0
STRT,Strattec Security Corp,0.0
GEN,Genesis Healthcare Inc,0.0
WLFC,Willis Lease Finance Corp,0.0
NAME,Rightside Group Ltd,0.0
III,Information Services Group Inc,0.0
SRNE,Sorrento Therapeutics Inc,0.0
SHLD,Sears Holdings Corp,0.0
WTI,W&T Offshore Inc,0.0
PTI,PROTEOSTASIS THERAPEUTICS INC,0.0
DXLG,Destination XL Group Inc,0.0
IRIX,IRIDEX Corp,0.0
PTGX,PROTAGONIST THERAPEUTICS INC,0.0
NTLA,INTELLIA THERAPEUTICS INC,0.0
PMTS,CPI CARD GROUP INC,0.0
TAX,Liberty Tax Inc,0.0
ZFGN,Zafgen Inc,0.0
SAMG,Silvercrest Asset Management Group Inc,0.0
NGVC,Natural Grocers by Vitamin Cottage Inc,0.0
ECYT,Endocyte Inc,0.0
RELY,Real Industry Inc,0.0
RLH,Red Lion Hotels Corp,0.0
APTI,APPTIO INC,0.0
ABTL,Autobytel Inc,0.0
FBRC,FBR & Co,0.0
CDTX,Cidara Therapeutics Inc,0.0
SYX,Systemax Inc,0.0
SNAK,Inventure Foods Inc,0.0
AAC,AAC Holdings Inc,0.0
BLBD,Blue Bird Corp,0.0
XCO,EXCO Resources Inc,0.0
ATHX,Athersys Inc,0.0
HLTH,NOBILIS HEALTH CORP,0.0
MN,Manning & Napier Inc,0.0
IMDZ,Immune Design Corp,0.0
NCIT,NCI Inc,0.0
BOLD,AUDENTES THERAPEUTICS INC,0.0
JAKK,JAKKS Pacific Inc,0.0
TTOO,T2 Biosystems Inc,0.0
MCHX,Marchex Inc,0.0
ISRL,Isramco Inc,0.0
ALCO,Alico Inc,0.0
VHI,Valhi Inc,0.0
NIHD,NII Holdings Inc,0.0
CLCT,Collectors Universe Inc,0.0
SMRT,Stein Mart Inc,0.0
CNBKA,Century Bancorp Inc/MA,0.0
TPB,TURNING POINT BRANDS INC,0.0
CFMS,ConforMIS Inc,0.0
NATR,Nature's Sunshine Products Inc,0.0
APPF,Appfolio Inc,0.0
PVBC,Provident Bancorp Inc,0.0
SONA,Southern National Bancorp of Virginia Inc,0.0
UCP,UCP Inc,0.0
XBKS,Xenith Bankshares Inc,0.0
GLYC,GlycoMimetics Inc,0.0
CDXC,CHROMADEX CORP,0.0
ESTE,Earthstone Energy Inc,0.0
SALM,Salem Media Group Inc,0.0
P5N994,Petrocorp Inc Escrow,0.0
AE,Adams Resources & Energy Inc,0.0
TSRX,TRIUS THERAPEUTICS INC,0.0
GNE,Genie Energy Ltd,0.0
NYNY,Empire Resorts Inc,0.0
-,RESTRICTED CONTRA FERROGLOBE UNIT,0.0
AMSC,American Superconductor Corp,0.0
GRB,GERBER SCIENTIFIC ESCROW,0.0
FOGO,Fogo De Chao Inc,0.0
GALE,Galena Biopharma Inc,0.0
SYN,Synthetic Biologics Inc,0.0
TKAI,Tokai Pharmaceuticals Inc,0.0
HNH,Handy & Harman Ltd,0.0
ANTH,Anthera Pharmaceuticals Inc,0.0
TRXC,TransEnterix Inc,0.0
EYES,Second Sight Medical Products Inc,0.0
CVRS,CORINDUS VASCULAR ROBOTICS INC,0.0
ARGS,Argos Therapeutics Inc,0.0
BPTH,Bio-Path Holdings Inc,0.0
VALU,Value Line Inc,0.0
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,0.0
GRIF,Griffin Industrial Realty Inc,0.0
AST,Asterias Biotherapeutics Inc,0.0
CIX,Compx International Inc,0.0
UFAB,UNIQUE FABRICATING INC,0.0
DMTX,DIMENSION THERAPEUTICS INC,0.0
TTNP,TITAN PHARMACEUTICALS INC,0.0
ADPT,Adeptus Health Inc,0.0
HNNA,Hennessy Advisors Inc,0.0
NH,NANTHEALTH INC,0.0
LFVN,Lifevantage Corp,0.0
KDMN,KADMON INC,0.0
GWRS,GLOBAL WATER RESOURCES INC,0.0
TPHS,TRINITY PLACE HOLDINGS INC DUMMY,0.0
ROIAK,Radio One Inc,0.0
PETX,Aratana Therapeutics Inc,0.0
MRTX,Mirati Therapeutics Inc,0.0
VPG,Vishay Precision Group Inc,0.0
USAK,USA Truck Inc,0.0
RLGT,Radiant Logistics Inc,0.0
SCWX,SECUREWORKS CLASS A CORP,0.0
ITIC,Investors Title Co,0.0
SELB,SELECTA BIOSCIENCES INC,0.0
BOJA,Bojangles' Inc,0.0
GSOL,Global Sources Ltd,0.0
IDRA,Idera Pharmaceuticals Inc,0.0
ALJJ,ALJ REGIONAL INC,0.0
VRA,Vera Bradley Inc,0.0
LPCN,Lipocine Inc,0.0
ACNB,ACNB Corp,0.0
SNDX,SYNDAX PHARMACEUTICALS INC,0.0
SGA,Saga Communications Inc,0.0
AGFS,AGROFRESH SOLUTIONS INC,0.0
OCUL,Ocular Therapeutix Inc,0.0
NMRX,Numerex Corp,0.0
ODC,Oil-Dri Corp of America,0.0
SYRS,SYROS PHARMACEUTICALS INC,0.0
BWFG,Bankwell Financial Group Inc,0.0
FNBC,First NBC Bank Holding Co,0.0
PLUG,Plug Power Inc,0.0
CRVS,CORVUS PHARMACEUTICALS INC,0.0
BREW,Craft Brew Alliance Inc,0.0
GCBC,Greene County Bancorp Inc,0.0
PCYG,Park City Group Inc,0.0
ABCD,Cambium Learning Group Inc,0.0
DLTH,DULUTH HOLDINGS INC CLASS B,0.0
TVIA,TERRAVIA INC,0.0
BPI,Bridgepoint Education Inc,0.0
TCS,Container Store Group Inc,0.0
GIG,GigOptix Inc,0.0
NK,NantKwest Inc,0.0
MYOK,MYOKARDIA INC,0.0
TRHC,TABULA RASA HEALTHCARE INC,0.0
AC,ASSOCIATED CAPITAL GROUP INC CLASS,0.0
ADVM,ADVERUM BIOTECHNOLOGIES INC,0.0
RARX,RA PHARMACEUTICALS INC,0.0
LUB,Luby's Inc,0.0
PFBI,Premier Financial Bancorp Inc,0.0
GAIA,Gaiam Inc,0.0
HURC,Hurco Cos Inc,0.0
VSLR,VIVINT SOLAR INC,0.0
KIRK,Kirkland's Inc,0.0
COGT,COGINT INC,0.0
OSG,OVERSEAS SHIPHOLDING GROUP INC CLA,0.0
HMTV,Hemisphere Media Group Inc,0.0
OPY,Oppenheimer Holdings Inc,0.0
NL,NL Industries Inc,0.0
FCFP,First Community Financial Partners Inc,0.0
PIP,PharmAthene Inc,0.0
CVCY,Central Valley Community Bancorp,0.0
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,0.0
FC,Franklin Covey Co,0.0
SENS,SENSEONICS HOLDINGS INC,0.0
SMMF,Summit Financial Group Inc,0.0
SSI,Stage Stores Inc,0.0
GNMX,AEVI GENOMIC MEDICINE INC,0.0
CLSD,CLEARSIDE BIOMEDICAL INC,0.0
EDIT,EDITAS MEDICINE INC,0.0
AXSM,AXSOME THERAPEUTICS INC,0.0
LAWS,Lawson Products Inc/DE,0.0
MDLY,Medley Management Inc,0.0
MITK,Mitek Systems Inc,0.0
LWAY,Lifeway Foods Inc,0.0
CONN,Conn's Inc,0.0
FCEL,FuelCell Energy Inc,0.0
MFSF,MutualFirst Financial Inc,0.0
RGLS,Regulus Therapeutics Inc,0.0
BSF,Bear State Financial Inc,0.0
TROV,Trovagene Inc,0.0
PI,IMPINJ INC,0.0
OBLN,OBALON THERAPEUTICS INC,0.0
MNOV,MediciNova Inc,0.0
KONA,Kona Grill Inc,0.0
AVID,Avid Technology Inc,0.0
OVAS,OvaScience Inc,0.0
MXWL,Maxwell Technologies Inc,0.0
EIGR,EIGER BIOPHARMACEUTICALS INC,0.0
HCCI,Heritage-Crystal Clean Inc,0.0
VTVT,vTv Therapeutics Inc,0.0
TRVN,Trevena Inc,0.0
NDLS,Noodles & Co,0.0
LAYN,Layne Christensen Co,0.0
PBNC,PARAGON COMMERCIAL CORP,0.0
CIE,Cobalt International Energy Inc,0.0
FLKS,Flex Pharma Inc,0.0
CCXI,ChemoCentryx Inc,0.0
FLGT,FULGENT GENETICS INC,0.0
ORM,Owens Realty Mortgage Inc,0.0
AMPE,Ampio Pharmaceuticals Inc,0.0
EPE,EP Energy Corp,0.0
VRAY,VIEWRAY INC,0.0
JOUT,Johnson Outdoors Inc,0.0
ERN,Erin Energy Corp,0.0
CNTY,Century Casinos Inc,0.0
TDW,Tidewater Inc,0.0
RST,Rosetta Stone Inc,0.0
CYTR,CytRx Corp,0.0
STML,Stemline Therapeutics Inc,0.0
PTSI,PAM Transportation Services Inc,0.0
WEYS,Weyco Group Inc,0.0
TNDM,Tandem Diabetes Care Inc,0.0
ARC,ARC Document Solutions Inc,0.0
AVGR,Avinger Inc,0.0
UFPT,UFP Technologies Inc,0.0
SHOS,Sears Hometown and Outlet Stores Inc,0.0
ICBK,County Bancorp Inc,0.0
CFNB,California First National Bancorp,0.0
MCRB,Seres Therapeutics Inc,0.0
AGRX,Agile Therapeutics Inc,0.0
CEMP,Cempra Inc,0.0
WKHS,WORKHORSE GROUP INC,0.0
STRS,Stratus Properties Inc,0.0
APVO,APTEVO THERAPEUTICS INC,0.0
ICD,Independence Contract Drilling Inc,0.0
IRMD,iRadimed Corp,0.0
FNWB,First Northwest Bancorp,0.0
VNCE,Vince Holding Corp,0.0
WMAR,West Marine Inc,0.0
WAC,Walter Investment Management Corp,0.0
CRCM,Care.com Inc,0.0
NOVN,NOVAN INC,0.0
MBRG,Middleburg Financial Corp,0.0
ITEK,Inotek Pharmaceuticals Corp,0.0
JONE,Jones Energy Inc,0.0
MJCO,MAJESCO,0.0
INBK,First Internet Bancorp,0.0
PN,Patriot National Inc,0.0
NERV,Minerva Neurosciences Inc,0.0
FSAM,Fifth Street Asset Management Inc,0.0
NEFF,Neff Corp,0.0
PSIX,Power Solutions International Inc,0.0
RETA,REATA PHARMACEUTICALS INC CLASS A,0.0
PLPM,Planet Payment Inc,0.0
ARA,AMERICAN RENAL ASSOCIATES HOLDINGS,0.0
SND,SMART SAND INC,0.0
ARWR,Arrowhead Research Corp,0.0
REIS,Reis Inc,0.0
FLDM,Fluidigm Corp,0.0
ORRF,Orrstown Financial Services Inc,0.0
SIFI,SI Financial Group Inc,0.0
HIL,Hill International Inc,0.0
INFI,Infinity Pharmaceuticals Inc,0.0
UNB,Union Bankshares Inc/Morrisville VT,0.0
ASCMA,Ascent Capital Group Inc,0.0
RAIL,FreightCar America Inc,0.0
NRCIA,National Research Corp,0.0
EVBG,EVERBRIDGE INC,0.0
HALL,Hallmark Financial Services Inc,0.0
CDXS,Codexis Inc,0.0
CWCO,Consolidated Water Co Ltd,0.0
LLNW,Limelight Networks Inc,0.0
TUES,Tuesday Morning Corp,0.0
TIPT,Tiptree Financial Inc,0.0
USLM,United States Lime & Minerals Inc,0.0
PHIIK,PHI Inc,0.0
USAT,USA Technologies Inc,0.0
VCYT,Veracyte Inc,0.0
AFH,Atlas Financial Holdings Inc,0.0
RYI,Ryerson Holding Corp,0.0
ENOC,EnerNOC Inc,0.0
TUSK,MAMMOTH ENERGY SERVICES INC,0.0
QTNA,QUANTENNA COMMUNICATIONS INC,0.0
SQBG,Sequential Brands Group Inc,0.0
CFFI,C&F Financial Corp,0.0
NNA,Navios Maritime Acquisition Corp,0.0
IESC,Integrated Electrical Services Inc,0.0
MCF,Contango Oil & Gas Co,0.0
SGC,Superior Uniform Group Inc,0.0
FFNW,First Financial Northwest Inc,0.0
PZN,Pzena Investment Management Inc,0.0
GUID,Guidance Software Inc,0.0
RSYS,Radisys Corp,0.0
HCOM,Hawaiian Telcom Holdco Inc,0.0
AGYS,Agilysys Inc,0.0
GDEN,GOLDEN ENTERTAINMENT INC,0.0
SPKE,Spark Energy Inc,0.0
